 |ID|CJ|CI|RWLA|RWAR|RWB|RWCM|RWCN|RWDO|RWDT|RWEL|RWEND|RWFOR|RWFR|RWGT|RWIF|RWINT|RWIR|RWLB|RWLN|RWOF|RWOP|RWLO|RWPR|RWRAT|RWRD|RWSM|RWTH|RWTO|RWTP|RWV|RWWR|RWCX|RWFUN|RWIM|RWRE|RWINTOP|RWPRC|RWDN|RWN|OPPLUS|OPMINUS|OPMUL|OPDIV|OPGT|OPLT|OPGE|OPLE|OPEQ|OPNE|OPAS|SRLP|SRRP|SRLB|SRRB|SRSM|SRCN|SRSP|SRCA|SRLCB|SRRCB|TEXT||ERROR|ENDOFFILE|ENDOFFILE
Expression2|||||[EPSILON]|||||[EPSILON]|[EPSILON]||[EPSILON]|||||||||||[EPSILON]|||||[EPSILON]|[EPSILON]||||||||||||[BinaryAdditiveOperator, Summand, Expression2]|[BinaryAdditiveOperator, Summand, Expression2]|||[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|||||
Factor||[Var1]||[Var1]|||||||||||[UnaryOperator, Var1]||||[UnaryOperator, Var1]||[UnaryOperator, Var1]|||||||[UnaryOperator, Var1]||||||||[UnaryOperator, Var1]|[UnaryOperator, Var1]|[UnaryOperator, Var1]||||[UnaryOperator, Var1]|[UnaryOperator, Var1]||||||||||[SRLP, LogicOr, SRRP]||||||||[Var1]||||||
Factor1||[Factor, ]||[Factor, ]|||||||||||[Factor, ]||||[Factor, ]||[Factor, ]|||||||[Factor, ]||||||||[Factor, ]|[Factor, ]|[Factor, ]||||[Factor, ]|[Factor, ]||||||||||[Factor, ]||||||||[Factor, ]||||||
Function|||||||||||||||||||||||||||||||||||[RWFUN, ID, SRLP, FunctionArgs, SRRP, SRCN, Type, SRSM, LocalDefinition1, CompoundStatement, SRSM]||||||||||||||||||||||||||||||||
FunctionArgs||[OneTypeArgs, FunctionArgs1]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
FunctionArgs1||||||||||||||||||||||||||||||||||||||||||||||||||||||[EPSILON]|||[EPSILON]||||||||||
IdList||[ID, IdList1]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
IdList1||||||||||||||||||||||||||||||||||||||||||||||||||||||[EPSILON]||||[EPSILON]||[SRCA, ID, IdList1]|||||||
IndexType||[ID]||[CI]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
InputOperator|||||||||||||||||||||||||||[RWRD, SRLP, LeftHandVar, SRRP]||||||||||||||||||||||||||||||||||||||||
InputOperator1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Label||[ID]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
LabelSection||||||||||||||||||||[RWLB, Label, LabelSection1, SRSM]|||||||||||||||||||||||||||||||||||||||||||||||
LabelSection1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||[EPSILON]|||[SRCA, Label, LabelSection1]|||||||
LeftHandPostfixRationalOperator|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||[PostfixRationalOperator]||||||||
LeftHandVar||[ID, ]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
LeftHandVar1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
LocalDefinition|||||||||[ConstSection]|||||||||||[LabelSection]|||||||||||[TypeSection]|[VarSection]|||||||||||||||||||||||||||||||||||
LocalDefinition1|||||||[EPSILON]||[LocalDefinition, OperatorOverloadSection1]|||||||||||[LocalDefinition, OperatorOverloadSection1]|||||||||||[LocalDefinition, OperatorOverloadSection1]|[LocalDefinition, OperatorOverloadSection1]|||||||||||||||||||||||||||||||||||
LogicAnd||[Relation, LogicAnd1]||[Relation, LogicAnd1]|||||||||||[Relation, LogicAnd1]||||[Relation, LogicAnd1]||[Relation, LogicAnd1]|||||||[Relation, LogicAnd1]||||||||[Relation, LogicAnd1]|[Relation, LogicAnd1]|[Relation, LogicAnd1]||||[Relation, LogicAnd1]|[Relation, LogicAnd1]||||||||||[Relation, LogicAnd1]||||||||[Relation, LogicAnd1]||||||
LogicAnd1|||||[, Relation, LogicAnd1]|||||[EPSILON]|[EPSILON]||[EPSILON]|||||||||||[EPSILON]|||||[EPSILON]|[EPSILON]||||||||||||||||||||||||[EPSILON]||[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|||||
LogicOr||[LogicAnd, LogicOr1]||[LogicAnd, LogicOr1]|||||||||||[LogicAnd, LogicOr1]||||[LogicAnd, LogicOr1]||[LogicAnd, LogicOr1]|||||||[LogicAnd, LogicOr1]||||||||[LogicAnd, LogicOr1]|[LogicAnd, LogicOr1]|[LogicAnd, LogicOr1]||||[LogicAnd, LogicOr1]|[LogicAnd, LogicOr1]||||||||||[LogicAnd, LogicOr1]||||||||[LogicAnd, LogicOr1]||||||
